,Morning,Night
Feb14 Sun,60,
Feb26 Fri,68,67
Feb20 Sat,60,88
Feb28 Sun,102,72
Feb11 Thu,60,101
Feb12 Fri,60,55
Feb13 Sat,60,92
Feb04 Thu,60,55
Feb22 Mon,62,
Feb07 Sun,60,98
Feb06 Sat,98,55
Feb21 Sun,62,106
Feb25 Thu,62,67
Feb18 Thu,60,55
Feb19 Fri,60,90
Feb27 Sat,62,72
Feb05 Fri,60,61
Feb08 Mon,65,
Feb15 Mon,107,
Feb10 Wed,,55
Feb24 Wed,,86
Feb17 Wed,,55
Feb03 Wed,,55
