,Night,Morning
Nov13 Fri,109,99
Nov12 Thu,60,60
Nov27 Fri,58,60
Nov04 Wed,61,
Nov25 Wed,60,
Nov07 Sat,61,60
Nov22 Sun,58,60
Nov19 Thu,58,60
Nov28 Sat,60,60
Nov01 Sun,61,66
Nov08 Sun,61,60
Nov29 Sun,55,60
Nov11 Wed,60,
Nov15 Sun,69,
Nov20 Fri,68,64
Nov26 Thu,136,60
Nov06 Fri,61,59
Nov05 Thu,61,59
Nov21 Sat,58,60
Nov14 Sat,58,66
Nov09 Mon,,66
Nov02 Mon,,59
Nov30 Mon,,80
Nov16 Mon,,100
Nov23 Mon,,60
